"","temperatura","fechas"
"1",10.6,2020-01-01
"2",10.1,2020-01-02
"3",6.3,2020-01-03
"4",8.8,2020-01-04
"5",9.9,2020-01-05
"6",10.6,2020-01-06
"7",11.2,2020-01-07
"8",12.2,2020-01-08
"9",11.6,2020-01-09
"10",10.3,2020-01-10
"11",9.1,2020-01-11
"12",8.3,2020-01-12
"13",6.5,2020-01-13
"14",7.1,2020-01-14
"15",7.4,2020-01-15
"16",10.7,2020-01-16
"17",10,2020-01-17
"18",7.9,2020-01-18
"19",8.2,2020-01-19
"20",5.3,2020-01-20
"21",6.1,2020-01-21
"22",7.7,2020-01-22
"23",8.5,2020-01-23
"24",8,2020-01-24
"25",7.9,2020-01-25
"26",9.1,2020-01-26
"27",6.6,2020-01-27
"28",10.6,2020-01-28
"29",11.8,2020-01-29
"30",10.5,2020-01-30
"31",12.4,2020-01-31
"32",14.3,2020-02-01
"33",12.1,2020-02-02
"34",14.5,2020-02-03
"35",15.2,2020-02-04
"36",12.3,2020-02-05
"37",9.5,2020-02-06
"38",11,2020-02-07
"39",9.5,2020-02-08
"40",10,2020-02-09
"41",12.5,2020-02-10
"42",0,2020-02-11
"43",0,2020-02-12
"44",0,2020-02-13
"45",0,2020-02-14
"46",0,2020-02-15
"47",0,2020-02-16
"48",0,2020-02-17
"49",0,2020-02-18
"50",0,2020-02-19
"51",0,2020-02-20
"52",0,2020-02-21
"53",0,2020-02-22
"54",0,2020-02-23
"55",19.6,2020-02-24
"56",14.8,2020-02-25
"57",13.4,2020-02-26
"58",14.1,2020-02-27
"59",15.5,2020-02-28
"60",10.9,2020-02-29
"61",11,2020-03-01
"62",10.2,2020-03-02
"63",14.8,2020-03-03
"64",12.7,2020-03-04
"65",10.9,2020-03-05
"66",11.9,2020-03-06
"67",12.4,2020-03-07
"68",14.7,2020-03-08
"69",16.8,2020-03-09
"70",19.6,2020-03-10
"71",20,2020-03-11
"72",19.4,2020-03-12
"73",18.5,2020-03-13
"74",16,2020-03-14
"75",8,2020-03-15
"76",11.3,2020-03-16
"77",14.1,2020-03-17
"78",13.6,2020-03-18
"79",11.5,2020-03-19
"80",9.4,2020-03-20
"81",10.6,2020-03-21
"82",11.2,2020-03-22
"83",12.6,2020-03-23
"84",13.1,2020-03-24
"85",13,2020-03-25
"86",7.9,2020-03-26
"87",11.8,2020-03-27
"88",15.1,2020-03-28
"89",7,2020-03-29
"90",5.5,2020-03-30
"91",10.8,2020-03-31
"92",12.1,2020-04-01
"93",13.9,2020-04-02
"94",13.9,2020-04-03
"95",15.4,2020-04-04
"96",15.5,2020-04-05
"97",14.7,2020-04-06
"98",17.7,2020-04-07
"99",14.9,2020-04-08
"100",12.8,2020-04-09
"101",15.8,2020-04-10
"102",16.5,2020-04-11
"103",14.6,2020-04-12
"104",14.5,2020-04-13
"105",13.1,2020-04-14
"106",13.8,2020-04-15
"107",15.3,2020-04-16
"108",17.3,2020-04-17
"109",15.2,2020-04-18
"110",14.9,2020-04-19
"111",12.4,2020-04-20
"112",16.2,2020-04-21
"113",16.6,2020-04-22
"114",18.6,2020-04-23
"115",18.6,2020-04-24
"116",16.2,2020-04-25
"117",14.3,2020-04-26
"118",13.2,2020-04-27
"119",15,2020-04-28
"120",0,2020-04-29
"121",16.4,2020-04-30
"122",20.1,2020-05-01
"123",23.1,2020-05-02
"124",23.1,2020-05-03
"125",20,2020-05-04
"126",20.3,2020-05-05
"127",21.4,2020-05-06
"128",22.3,2020-05-07
"129",19.8,2020-05-08
"130",15.5,2020-05-09
"131",15.4,2020-05-10
"132",13.1,2020-05-11
"133",14.5,2020-05-12
"134",13.3,2020-05-13
"135",14,2020-05-14
"136",15.5,2020-05-15
"137",17.7,2020-05-16
"138",21.7,2020-05-17
"139",23.5,2020-05-18
"140",25.3,2020-05-19
"141",25.7,2020-05-20
"142",26.4,2020-05-21
"143",27.4,2020-05-22
"144",24.9,2020-05-23
"145",23.7,2020-05-24
"146",21.7,2020-05-25
"147",23.9,2020-05-26
"148",23.6,2020-05-27
"149",25.2,2020-05-28
"150",26,2020-05-29
"151",23.5,2020-05-30
"152",23.2,2020-05-31
"153",24.7,2020-06-01
"154",23.7,2020-06-02
"155",20.2,2020-06-03
"156",21.8,2020-06-04
"157",22.7,2020-06-05
"158",20.7,2020-06-06
"159",18.1,2020-06-07
"160",18.5,2020-06-08
"161",20.1,2020-06-09
"162",20.2,2020-06-10
"163",15.8,2020-06-11
"164",17.3,2020-06-12
"165",20.9,2020-06-13
"166",22.3,2020-06-14
"167",21.7,2020-06-15
"168",21.5,2020-06-16
"169",23.4,2020-06-17
"170",24.3,2020-06-18
"171",26.6,2020-06-19
"172",28.5,2020-06-20
"173",28.2,2020-06-21
"174",29.8,2020-06-22
"175",27.9,2020-06-23
"176",28.6,2020-06-24
"177",26.7,2020-06-25
"178",26.8,2020-06-26
"179",30.5,2020-06-27
"180",30.7,2020-06-28
"181",0,2020-06-29
"182",29.9,2020-06-30
"183",28.2,2020-07-01
"184",26,2020-07-02
"185",28,2020-07-03
"186",29.8,2020-07-04
"187",31,2020-07-05
"188",31,2020-07-06
"189",30.1,2020-07-07
"190",27.3,2020-07-08
"191",27.3,2020-07-09
"192",29.6,2020-07-10
"193",27.5,2020-07-11
"194",28.1,2020-07-12
"195",27.1,2020-07-13
"196",26.7,2020-07-14
"197",28.1,2020-07-15
"198",29,2020-07-16
"199",28.8,2020-07-17
"200",30.4,2020-07-18
"201",30.9,2020-07-19
"202",29.9,2020-07-20
"203",28.5,2020-07-21
"204",30.3,2020-07-22
"205",31.4,2020-07-23
"206",30.7,2020-07-24
"207",32.8,2020-07-25
"208",33.2,2020-07-26
"209",32,2020-07-27
"210",32.5,2020-07-28
"211",32.4,2020-07-29
"212",32.6,2020-07-30
"213",32.6,2020-07-31
"214",30.5,2020-08-01
"215",27.5,2020-08-02
"216",27,2020-08-03
"217",29.8,2020-08-04
"218",31.5,2020-08-05
"219",32.6,2020-08-06
"220",31.5,2020-08-07
"221",32.4,2020-08-08
"222",28.4,2020-08-09
"223",22,2020-08-10
"224",22.4,2020-08-11
"225",25.6,2020-08-12
"226",27.5,2020-08-13
"227",25.4,2020-08-14
"228",24.2,2020-08-15
"229",24.5,2020-08-16
"230",26.2,2020-08-17
"231",27.8,2020-08-18
"232",28.2,2020-08-19
"233",27.6,2020-08-20
"234",28.1,2020-08-21
"235",28.2,2020-08-22
"236",28.3,2020-08-23
"237",30.1,2020-08-24
"238",31.2,2020-08-25
"239",31.5,2020-08-26
"240",28.7,2020-08-27
"241",21.9,2020-08-28
"242",19.5,2020-08-29
"243",20.4,2020-08-30
"244",22.3,2020-08-31
"245",24.1,2020-09-01
"246",25.9,2020-09-02
"247",26.9,2020-09-03
"248",27.9,2020-09-04
"249",28,2020-09-05
"250",22.5,2020-09-06
"251",21.4,2020-09-07
"252",24.2,2020-09-08
"253",25.6,2020-09-09
"254",26.8,2020-09-10
"255",27.5,2020-09-11
"256",27.1,2020-09-12
"257",25.7,2020-09-13
"258",25.1,2020-09-14
"259",25.7,2020-09-15
"260",22.6,2020-09-16
"261",18.3,2020-09-17
"262",16.9,2020-09-18
"263",18.9,2020-09-19
"264",20.8,2020-09-20
"265",21.2,2020-09-21
"266",20.5,2020-09-22
"267",19.2,2020-09-23
"268",16.5,2020-09-24
"269",16.9,2020-09-25
"270",19,2020-09-26
"271",21.2,2020-09-27
"272",21.8,2020-09-28
"273",0,2020-09-29
"274",20.2,2020-09-30
"275",14.1,2020-10-01
"276",13.7,2020-10-02
"277",13.7,2020-10-03
"278",16.7,2020-10-04
"279",19.9,2020-10-05
"280",22,2020-10-06
"281",21.5,2020-10-07
"282",22.2,2020-10-08
"283",20.3,2020-10-09
"284",15.8,2020-10-10
"285",16.3,2020-10-11
"286",18.4,2020-10-12
"287",16.6,2020-10-13
"288",14.3,2020-10-14
"289",13.2,2020-10-15
"290",14.2,2020-10-16
"291",16.6,2020-10-17
"292",18.1,2020-10-18
"293",16.2,2020-10-19
"294",15.3,2020-10-20
"295",14.3,2020-10-21
"296",13.2,2020-10-22
"297",12.5,2020-10-23
"298",11.7,2020-10-24
"299",11.3,2020-10-25
"300",12.3,2020-10-26
"301",12.2,2020-10-27
"302",14.3,2020-10-28
"303",16.5,2020-10-29
"304",18,2020-10-30
"305",17.9,2020-10-31
"306",17.7,2020-11-01
"307",14.9,2020-11-02
"308",10.5,2020-11-03
"309",11.6,2020-11-04
"310",15.5,2020-11-05
"311",13.2,2020-11-06
"312",13,2020-11-07
"313",13.9,2020-11-08
"314",14.9,2020-11-09
"315",14.3,2020-11-10
"316",13.7,2020-11-11
"317",14.7,2020-11-12
"318",13,2020-11-13
"319",13.9,2020-11-14
"320",16.4,2020-11-15
"321",14.4,2020-11-16
"322",14.1,2020-11-17
"323",17,2020-11-18
"324",14.6,2020-11-19
"325",13.5,2020-11-20
"326",13,2020-11-21
"327",13.5,2020-11-22
"328",11.7,2020-11-23
"329",10.5,2020-11-24
"330",10.7,2020-11-25
"331",10.8,2020-11-26
